Inl,Word,PhonStrsDISC,Phon no stress or syllables
1962,a,'a,a
1104,`a,'a,a
29510,aan,'an,an
238761,aan,'an,an
1482,aanbod,'am-bOt,ambOt
8446,aandacht,'an-dAxt,andAxt
1009,aandachtig,an-'dAx-t@x,andAxt@x
1106,aandeel,'an-del,andel
1403,aangeboden,'aN-G@-bo-d@,aNG@bod@
1186,aangebracht,'aN-G@-brAxt,aNG@brAxt
1298,aangeduid,'aN-G@-dLt,aNG@dLt
1380,aangegeven,'aN-G@-Ge-v@,aNG@Gev@
1139,aangekomen,'aN-G@-ko-m@,aNG@kom@
2920,aangezien,'aN-G@-zin,aNG@zin
1050,aanleg,'an-lEx,anlEx
3008,aanleiding,'an-lK-dIN,anlKdIN
1234,aanmerking,'an-mEr-kIN,anmErkIN
15447,aantal,'an-tAl,antAl
1496,aanval,'an-vAl,anvAl
2438,aanvankelijk,an-'vAN-k@-l@k,anvANk@l@k
4092,aanwezig,an-'we-z@x,anwez@x
2683,aanwezigheid,an-'we-z@x-hKt,anwez@xhKt
1128,aanwijzingen,'an-wK-zI-N@,anwKzIN@
1179,aanzien,'an-zin,anzin
2357,aanzien,'an-zin,anzin
1179,aanzien,'an-zin,anzin
1594,aanzienlijk,an-'zin-l@k,anzinl@k
5620,aard,'art,art
6492,aarde,'ar-d@,ard@
3029,aardig,'ar-d@x,ard@x
1160,aardige,'ar-d@-G@,ard@G@
1048,aarzelde,'ar-z@l-d@,arz@ld@
1013,aarzelend,'ar-z@-l@nt,arz@l@nt
1304,absolute,Ap-so-'ly-t@,Apsolyt@
1764,absoluut,Ap-so-'lyt,Apsolyt
1145,accent,Ak-'sEnt,AksEnt
2927,ach,'Ax,Ax
3334,acht,'Axt,Axt
23268,achter,'Ax-t@r,Axt@r
1824,achteraf,Ax-t@r-'Af,Axt@rAf
1136,achteren,'Ax-t@-r@,Axt@r@
2285,achtergrond,'Ax-t@r-GrOnt,Axt@rGrOnt
1342,achterover,Ax-t@r-'o-v@r,Axt@rov@r
1448,achteruit,Ax-t@r-'Lt,Axt@rLt
2017,actie,'Ak-si,Aksi
1564,actief,Ak-'tif,Aktif
1660,activiteit,Ak-ti-vi-'tKt,AktivitKt
2840,activiteiten,Ak-ti-vi-'tK-t@,AktivitKt@
3674,adem,'a-d@m,ad@m
1771,adres,A-'drEs,AdrEs
1572,advies,At-'fis,Atfis
1170,advocaat,At-fo-'kat,Atfokat
39022,af,'Af,Af
2120,afdeling,'Av-de-lIN,AvdelIN
1313,afgelopen,'Af-x@-lo-p@,Afx@lop@
1313,afgelopen,'Af-x@-lo-p@,Afx@lop@
1463,afgezien,'Af-x@-zin,Afx@zin
2879,afhankelijk,Af-'hAN-k@-l@k,AfhANk@l@k
1029,afkeer,'Af-ker,Afker
1705,afkomstig,Af-'kOm-st@x,AfkOmst@x
1054,afloop,'Af-lop,Aflop
2082,afscheid,'Af-sxKt,AfsxKt
1518,afspraak,'Af-sprak,Afsprak
4941,afstand,'Af-stAnt,AfstAnt
1020,afwezigheid,Af-'we-z@x-hKt,Afwez@xhKt
1449,afzonderlijke,Af-'sOn-d@r-l@-k@,AfsOnd@rl@k@
1465,agent,a-'GEnt,aGEnt
30068,al,'Al,Al
66149,al,'Al,Al
3007,al,'Al,Al
1223,alcohol,'Al-ko-hOl,AlkohOl
3260,aldus,Al-'d}s,Ald}s
